case_id,label,n_users,n_interactions,n_comments,n_reposts,duration_h,d95_h,peak_24h,first_24h_share,comment_share,max_user_share,max_gap_h,n_active_windows,truncated,passes_filter,quality_score
26f247cc05fd53e12daa91c98e7feab8,fake,642,684,533,151,166.7,155.4,257,0.376,0.779,0.012,69.8,5,no,yes,1.000
f983d8f70e265ec265acd9ea93e9b10d,fake,124,136,35,101,117.3,70.2,85,0.632,0.257,0.022,25.6,5,no,yes,1.000
3914efb90462720f1826fb8fb36f42c8,real,258,378,245,133,241.4,81.8,345,0.913,0.648,0.296,86.1,8,no,yes,1.000
bf072950ef3baf316bad16724a9a87fb,real,473,1056,875,181,135.6,53.4,949,0.899,0.829,0.160,23.4,6,no,yes,1.000
d4e8f052201421faa5f9151868b944d1,real,233,381,295,86,104.2,40.3,358,0.940,0.774,0.197,10.1,5,no,yes,1.000
cb54a50418c3fdde86c6c3ab2d546a4b,real,224,372,272,100,104.8,31.2,352,0.946,0.731,0.250,8.8,5,no,yes,0.998
358c4bfb059f6040f6f8b2677128f1aa,real,209,260,209,51,1365.0,476.9,197,0.758,0.804,0.127,368.6,16,no,yes,0.972
68665bf53973dea5036336fcc5dc9eea,fake,365,387,90,297,274.0,62.2,200,0.124,0.233,0.008,98.6,7,no,yes,0.927
7cfe610e01dafc496143664a1a8cf87d,fake,126,155,101,54,132.5,27.6,147,0.948,0.652,0.013,74.3,4,no,yes,0.908
3e242f05455fba471a54f8f523a1a94c,real,347,756,640,116,120.5,23.8,721,0.954,0.847,0.139,68.5,5,no,yes,0.898
6fc91ddc3e300b185b916815e059f456,real,338,678,444,234,201.3,48.6,449,0.664,0.655,0.327,56.9,8,no,yes,0.887
afc5ba429bc79086f05d6798e4ed978a,fake,206,221,134,87,219.5,39.6,156,0.285,0.606,0.023,158.1,4,no,yes,0.881
22c6a11c223c838fa933b5b4af777fcc,real,261,410,255,155,144.7,37.9,381,0.929,0.622,0.346,25.1,7,no,yes,0.869
58cc07acc9700c904ad00b793bb6bc24,real,752,1106,757,349,4205.2,707.1,723,0.654,0.684,0.296,797.3,64,no,yes,0.868
25d9ed3994c2d5f030b864867facab47,fake,183,187,53,134,156.0,24.5,177,0.947,0.283,0.011,74.7,5,no,yes,0.857
b4a497151507853058c8c50b6c6670f5,fake,338,355,208,147,172.4,26.8,274,0.775,0.586,0.011,94.2,4,no,yes,0.855
34af06246481ccbb6d584ee0888933d0,real,130,212,126,86,119.5,41.1,198,0.934,0.594,0.373,32.2,5,no,yes,0.855
b9801872032a3bee629f6559bbf503ba,fake,142,159,30,129,165.8,24.4,151,0.950,0.189,0.019,76.6,4,no,yes,0.847
1ca00852d46f345ac85388e7d518898e,real,454,662,459,203,106.0,16.4,653,0.986,0.693,0.305,36.6,5,no,yes,0.844
267d91a277e9690d469c5d79194c2d4b,real,359,751,600,151,177.3,24.4,689,0.917,0.799,0.186,69.8,6,no,yes,0.838
70fa0bdb6ede55384664bd1667602021,real,519,776,529,247,175.2,28.8,697,0.898,0.682,0.314,54.2,6,no,yes,0.835
b072bc2d28865cf292d734ccfecce869,real,155,223,155,68,99.2,12.7,217,0.973,0.695,0.260,51.4,3,no,yes,0.828
dfb9f2af5bb9b16ba717b91d6be5fa2f,fake,136,143,65,78,151.2,17.8,139,0.972,0.455,0.014,98.0,3,no,yes,0.818
3dac58ea8cfef832bde25278a699fd45,fake,151,158,100,58,106.2,11.9,153,0.968,0.633,0.013,39.9,4,no,yes,0.812
c72f72d8f19ff72b093ed08c1c6ef378,real,157,228,156,72,125.4,13.6,222,0.974,0.684,0.259,93.0,3,no,yes,0.809
641681287f58602c0b5adf5f515e2820,fake,655,686,311,375,167.5,17.5,681,0.993,0.453,0.004,71.5,4,no,yes,0.804
331d9bfeda2419d13b8a96138bcbb0d5,fake,158,170,103,67,310.3,32.1,149,0.876,0.606,0.012,218.9,5,no,yes,0.803
8e1b7dea21aa59d8b4201ecb6a2f6b97,fake,227,234,211,23,333.2,32.5,218,0.932,0.902,0.009,203.7,5,no,yes,0.797
9df7aba8bfd239deb710bbb0e23167c1,real,535,813,537,276,149.9,23.4,773,0.951,0.661,0.330,58.7,5,no,yes,0.797
10af5e2dcba0c862616f751fbefe9d00,real,841,1160,848,312,276.8,25.6,1083,0.934,0.731,0.259,109.0,5,no,yes,0.792
368b7cb33cdcace28a34b844326ad8ff,real,781,1199,970,229,113.9,10.0,1184,0.987,0.809,0.178,24.1,5,no,yes,0.788
34b05e122f1e089a2d3c3a09eabc87db,real,187,392,288,104,170.6,14.7,380,0.969,0.735,0.250,70.0,6,no,yes,0.786
c35e506d48bdcf562aca71f554f766f5,real,498,712,499,213,144.6,12.3,701,0.985,0.701,0.292,40.5,5,no,yes,0.785
ef2e4b29131f1e83e736e6b2be6a4809,real,543,799,559,240,210.9,17.8,778,0.974,0.700,0.277,106.9,6,no,yes,0.784
6a62afd4dc6de5d599975be1cef6a3f3,real,413,714,502,212,510.6,40.7,640,0.896,0.703,0.273,253.6,8,no,yes,0.780
befb51c3768ff648c76567ba2feb7c61,real,571,881,619,262,124.5,9.8,856,0.973,0.703,0.285,30.4,5,no,yes,0.779
eef574943986ee901160a69c8c95ce80,fake,350,406,86,320,915.0,72.2,162,0.399,0.212,0.030,624.9,13,no,yes,0.779
67f42d35901d79f0297d69c26dff82bc,real,459,532,450,82,1582.6,123.5,445,0.836,0.846,0.120,526.5,25,no,yes,0.778
ca4f13d74b1328c1f2369fd7f3e8821a,fake,139,251,95,156,545.5,42.0,223,0.888,0.378,0.215,329.4,7,no,yes,0.777
585b4dd237fffef174910405e712068f,real,990,1491,1063,428,146.0,11.1,1458,0.978,0.713,0.278,69.0,5,no,yes,0.776
0daf71be9fe5f0acc8ef68ab4735598e,real,599,810,602,208,109.7,8.3,794,0.980,0.743,0.242,27.1,5,no,yes,0.776
9026a9e01d7f8a3ea42e4d50c1bca9db,real,480,705,480,225,196.2,19.5,676,0.959,0.681,0.312,48.9,7,no,yes,0.775
234dd2400d46d2d9d5b34bc8ee77faee,real,341,487,342,145,211.2,15.2,476,0.977,0.702,0.271,70.7,5,no,yes,0.772
5dc461ef032f05238d0a4a8e2b49959b,real,334,435,323,112,124.9,8.9,426,0.979,0.743,0.225,51.4,4,no,yes,0.771
04e6db1788f16b2fe9113f45b6485937,real,242,405,292,113,149.7,10.7,400,0.988,0.721,0.249,63.6,5,no,yes,0.771
