experiment,param_name,true_value,estimated_value,relative_error,at_boundary,train_loss,val_loss,success,n_iterations,elapsed_s
single_beta_M,propagation.beta_M,0.1,0.09951000243167046,0.004899975683295421,False,0.0,0.20493901531919206,False,10,74.05026219994761
single_beta_M,propagation.beta_M,0.5,0.5655956159001192,0.1311912318002384,False,0.039477337962210556,0.22476439028873887,False,10,68.0412534000352
single_beta_M,propagation.beta_M,0.9,0.9395727384205836,0.04396970935620402,False,0.02780491472973267,0.5197639636252902,False,10,67.9451649999246
single_alpha_0,activation.alpha_0,-5.0,-5.1277539371232175,0.025550787424643496,False,0.0,0.0,True,10,69.62221229984425
single_alpha_0,activation.alpha_0,0.0,-0.013091650778617847,13091.650778617848,False,0.0,0.0,False,10,69.69573070015758
single_alpha_0,activation.alpha_0,2.0,1.9879739931563059,0.006013003421847074,False,0.0,0.0,True,10,69.61282170005143
single_gamma_0,decay.gamma_0,-4.0,-3.9494541855885563,0.01263645360286092,False,0.004804583837764598,0.14808162057327312,True,10,69.76052510016598
single_gamma_0,decay.gamma_0,0.0,-0.021556138241319855,21556.138241319855,False,0.0,0.0,False,10,69.65210280008614
single_gamma_0,decay.gamma_0,4.0,4.753259515964625,0.18831487899115618,False,0.0,0.0,True,5,38.34585070004687
single_beta_V,viral.beta_V,0.1,0.08017622656982543,0.1982377343017458,False,0.044124804560489055,0.31229931827900426,False,10,68.8617980000563
single_beta_V,viral.beta_V,0.5,0.37124492031309303,0.25751015937381394,False,0.023568738161127024,0.23456429430598624,True,6,43.57511969981715
single_beta_V,viral.beta_V,0.9,0.9010669616533232,0.0011855129481368957,False,0.0,0.0,False,10,67.6822792000603
2param_beta_M_alpha_0_0.3_-3.0,propagation.beta_M,0.3,0.30003286617376085,0.00010955391253619773,False,0.0,0.0,False,15,263.21384699991904
2param_beta_M_alpha_0_0.3_-3.0,activation.alpha_0,-3.0,-2.991961547787774,0.002679484070741959,False,0.0,0.0,False,15,263.21384699991904
2param_beta_M_alpha_0_0.5_0.0,propagation.beta_M,0.5,0.3522070923991909,0.2955858152016182,False,0.01843357970044028,0.3180934327405436,False,15,261.68699399987236
2param_beta_M_alpha_0_0.5_0.0,activation.alpha_0,0.0,0.8352623935878309,835262.393587831,False,0.01843357970044028,0.3180934327405436,False,15,261.68699399987236
2param_beta_M_alpha_0_0.7_2.0,propagation.beta_M,0.7,0.7004172852900781,0.0005961218429687395,False,0.003713182075232687,0.15713484026367724,False,15,258.192168999929
2param_beta_M_alpha_0_0.7_2.0,activation.alpha_0,2.0,1.9894364221465146,0.005281788926742692,False,0.003713182075232687,0.15713484026367724,False,15,258.192168999929
2param_alpha_0_gamma_0_-3.0_-3.0,activation.alpha_0,-3.0,-3.1468913598119017,0.04896378660396724,False,0.0065201601240585,0.6135719910778962,False,15,267.31665239995345
2param_alpha_0_gamma_0_-3.0_-3.0,decay.gamma_0,-3.0,-3.2552620069984757,0.08508733566615856,False,0.0065201601240585,0.6135719910778962,False,15,267.31665239995345
2param_alpha_0_gamma_0_0.0_0.0,activation.alpha_0,0.0,-0.002548972569310415,2548.972569310415,False,0.0,0.0,False,15,264.8857665001415
2param_alpha_0_gamma_0_0.0_0.0,decay.gamma_0,0.0,0.006100607146469095,6100.607146469095,False,0.0,0.0,False,15,264.8857665001415
2param_alpha_0_gamma_0_2.0_3.0,activation.alpha_0,2.0,1.9924896922729536,0.0037551538635232085,False,0.0,0.0,False,15,263.3797365000937
2param_alpha_0_gamma_0_2.0_3.0,decay.gamma_0,3.0,3.088579954790919,0.029526651596972986,False,0.0,0.0,False,15,263.3797365000937
2param_beta_M_beta_V_0.3_0.3,propagation.beta_M,0.3,0.2773897336408234,0.07536755453058856,False,0.028088336282316207,0.28674417556808757,False,15,259.04760580020957
2param_beta_M_beta_V_0.3_0.3,viral.beta_V,0.3,0.4251091981930642,0.4170306606435474,False,0.028088336282316207,0.28674417556808757,False,15,259.04760580020957
2param_beta_M_beta_V_0.5_0.5,propagation.beta_M,0.5,0.55794432573231,0.11588865146462002,False,0.03256841312209308,0.3423035453683137,False,15,258.573144499911
2param_beta_M_beta_V_0.5_0.5,viral.beta_V,0.5,0.355251143236745,0.28949771352651,False,0.03256841312209308,0.3423035453683137,False,15,258.573144499911
2param_beta_M_beta_V_0.7_0.7,propagation.beta_M,0.7,0.6998254681103857,0.0002493312708774985,False,0.0,0.0,False,15,258.55511449999176
2param_beta_M_beta_V_0.7_0.7,viral.beta_V,0.7,0.686140853359773,0.019798780914609883,False,0.0,0.0,False,15,258.55511449999176
