pair_id,label,mode,case_id,n_users,n_interactions,elapsed_s,n_data_steps,obs_peak,sim_peak,peak_ratio,obs_peak_step,sim_peak_step,peak_step_error,train_nrmse,val_nrmse,mae,obs_auc,sim_auc,auc_ratio,baseline_persistence_nrmse,baseline_exp_decay_nrmse,baseline_pulse_decay_nrmse,seed_peak_cv,sim_mean_peak,sim_std_peak
pair_01,fake,broadcast,26f247cc05fd53e12daa91c98e7feab8,642,684,0,8,236.0,21.0,0.088983,1,5,4,0.595208,0.544369,76.1,625.0,105.8,0.16928,0.428878,0.502147,0.3822,nan,21.0,4.5
pair_01,real,broadcast,cf5522f51f8be6859840b0b948bb813c,704,1089,0,7,681.0,26.2,0.038473,1,6,5,0.445182,12.301626,111.714286,697.5,94.0,0.134767,0.526302,0.370748,0.369247,nan,27.0,4.6
pair_01,fake,cumulative,26f247cc05fd53e12daa91c98e7feab8,642,684,0,8,236.0,34.6,0.14661,1,3,2,0.574095,0.714826,72.95,625.0,165.4,0.26464,0.428878,0.502147,0.3822,nan,34.6,14.7
pair_01,real,cumulative,cf5522f51f8be6859840b0b948bb813c,704,1089,0,7,681.0,56.2,0.082526,1,4,3,0.447299,25.225483,132.742857,697.5,232.5,0.333333,0.526302,0.370748,0.369247,nan,56.2,22.4
pair_02,fake,broadcast,f983d8f70e265ec265acd9ea93e9b10d,124,136,0,6,77.0,4.2,0.054545,1,5,4,0.52245,1.529706,18.966667,123.0,14.6,0.118699,0.503049,0.380863,6.177924,nan,4.2,1.7
pair_02,real,broadcast,d293a73970751898b5d83f5525a15fcc,223,425,0,6,184.0,7.0,0.038043,1,5,4,0.513323,2.404163,35.3,214.5,20.4,0.095105,0.545751,0.360295,1.037049,nan,8.2,2.4
pair_02,fake,cumulative,f983d8f70e265ec265acd9ea93e9b10d,124,136,0,6,77.0,6.4,0.083117,1,3,2,0.515741,3.931921,18.933333,123.0,23.3,0.189431,0.503049,0.380863,6.177924,nan,6.6,2.5
pair_02,real,cumulative,d293a73970751898b5d83f5525a15fcc,223,425,0,6,184.0,19.0,0.103261,1,4,3,0.511606,12.003333,40.8,214.5,63.7,0.29697,0.545751,0.360295,1.037049,nan,19.0,6.8
pair_03,fake,broadcast,68665bf53973dea5036336fcc5dc9eea,365,387,0,13,188.0,11.6,0.061702,2,6,4,0.384289,4.230839,31.538462,365.5,104.9,0.287004,0.291502,0.331443,0.32634,nan,11.6,1.5
pair_03,real,broadcast,97bdff4a4098a06dc2b2597b514b2df3,434,876,0,21,417.0,15.8,0.03789,1,6,5,0.256493,9.305196,28.8,435.0,212.5,0.488506,0.306034,0.218265,0.218164,nan,15.8,2.1
