pair,mode,label,users,interactions,elapsed_s,n_data,train_end,obs_peak,sim_peak,peak_ratio,peak_step_err,train_nrmse,val_nrmse,val_peak_nrmse,train_rmsle,val_rmsle,val_mase,train_peak,val_denom,auc_ratio,bl_persist_nrmse,bl_exp_nrmse,bl_pulse_nrmse,bl_persist_rmsle,bl_exp_rmsle,bl_pulse_rmsle,rolling_val_nrmse,rolling_train_nrmse
pair_01,broadcast,fake,642,684,0,8,4,236.0,21.0,0.08898305084745763,4,0.595208,0.544369,0.080733,2.266448,2.52395,0.1847,236.0,35.0,0.16928,2.371142,0.472841,2.371142,3.750743,2.09386,3.750743,1.639147,0.510929
pair_01,broadcast,real,704,1089,0,7,4,681.0,26.2,0.03847283406754772,5,0.445182,12.301626,0.036128,2.769083,2.781679,0.0731,681.0,2.0,0.134767,0.5,0.685904,0.5,0.567827,0.742,0.567827,0.790569,0.623642
pair_01,cumulative,fake,642,684,0,8,4,236.0,34.6,0.14661016949152542,2,0.574095,0.714826,0.106012,2.031413,2.801497,0.2289,236.0,35.0,0.26464,2.371142,0.472841,2.371142,3.750743,2.09386,3.750743,1.639147,0.510929
pair_01,cumulative,real,704,1089,0,7,4,681.0,56.2,0.08252569750367107,3,0.447299,25.225483,0.074084,3.173097,3.459431,0.1495,681.0,2.0,0.333333,0.5,0.685904,0.5,0.567827,0.742,0.567827,0.790569,0.623642
pair_02,broadcast,fake,124,136,0,6,3,77.0,4.2,0.05454545454545455,4,0.52245,1.529706,0.019866,2.023964,0.380617,0.0331,77.0,1.0,0.118699,14.508618,2.012473,14.508618,1.654184,0.475333,1.654184,10.630146,0.608117
pair_02,broadcast,real,223,425,0,6,3,184.0,7.0,0.03804347826086957,4,0.513323,2.404163,0.013066,2.354312,0.37201,0.0202,184.0,1.0,0.095105,1.581139,1.946508,1.581139,0.261702,0.479627,0.261702,1.0,0.675905
pair_02,cumulative,fake,124,136,0,6,3,77.0,6.4,0.08311688311688312,2,0.515741,3.931921,0.051064,1.847704,0.772536,0.086,77.0,1.0,0.189431,14.508618,2.012473,14.508618,1.654184,0.475333,1.654184,10.630146,0.608117
pair_02,cumulative,real,223,425,0,6,3,184.0,19.0,0.10326086956521739,3,0.511606,12.003333,0.065236,2.289068,1.139702,0.1038,184.0,1.0,0.29697,1.581139,1.946508,1.581139,0.261702,0.479627,0.261702,1.0,0.675905
pair_03,broadcast,fake,365,387,0,13,8,188.0,11.6,0.06170212765957447,4,0.384289,4.230839,0.045009,2.160025,1.930174,0.1792,188.0,2.0,0.287004,0.559017,0.559017,0.559017,0.6495,0.6495,0.6495,0.612372,0.350315
pair_03,broadcast,real,434,876,0,21,14,417.0,15.8,0.037889688249400484,5,0.256493,9.305196,0.022315,2.400738,2.239522,0.1531,417.0,1.0,0.488506,0.408248,0.408248,0.408248,0.282976,0.282976,0.282976,0.408248,0.362104
pair_03,cumulative,fake,365,387,0,13,8,188.0,21.0,0.11170212765957446,3,0.379172,6.544081,0.069618,2.316256,2.296375,0.2752,188.0,2.0,0.470315,0.559017,0.559017,0.559017,0.6495,0.6495,0.6495,0.612372,0.350315
pair_03,cumulative,real,434,876,0,21,14,417.0,33.0,0.07913669064748201,2,0.260117,13.397015,0.032127,2.832429,2.558034,0.2213,417.0,1.0,0.878161,0.408248,0.408248,0.408248,0.282976,0.282976,0.282976,0.408248,0.362104
pair_04,broadcast,fake,126,155,0,7,4,119.0,4.8,0.04033613445378151,5,0.440788,1.077033,0.027152,1.857816,1.195018,0.0506,119.0,3.0,0.155645,0.707107,0.707107,0.707107,0.980258,0.980258,0.980258,0.707107,0.624512
pair_04,broadcast,real,252,386,0,6,3,229.0,9.2,0.04017467248908296,4,0.497459,7.021396,0.030661,2.425854,1.489405,0.047,229.0,1.0,0.111429,0.0,0.677567,0.0,0.0,0.427787,0.0,0.0,0.676406
pair_04,cumulative,fake,126,155,0,7,4,119.0,13.8,0.11596638655462185,2,0.445561,1.925848,0.048551,2.255241,1.57214,0.0895,119.0,3.0,0.373387,0.707107,0.707107,0.707107,0.980258,0.980258,0.980258,0.707107,0.624512
pair_04,cumulative,real,252,386,0,6,3,229.0,21.8,0.09519650655021834,3,0.496398,17.808425,0.077766,2.514737,2.269181,0.1193,229.0,1.0,0.264898,0.0,0.677567,0.0,0.0,0.427787,0.0,0.0,0.676406
pair_05,broadcast,fake,206,221,0,11,7,147.0,8.4,0.05714285714285715,4,0.369208,5.572552,0.037909,2.170673,1.727174,0.1322,147.0,1.0,0.261165,0.57735,0.57735,0.57735,0.400189,0.400189,0.400189,0.57735,0.433943
pair_05,broadcast,real,344,535,0,14,9,321.0,13.2,0.041121495327102804,6,0.315106,8.751,0.027262,2.50927,2.144679,0.1245,321.0,1.0,0.34645,0.5,0.5,0.5,0.346574,0.346574,0.346574,0.5,0.433424
pair_05,cumulative,fake,206,221,0,11,7,147.0,14.8,0.10068027210884355,2,0.367995,7.325754,0.049835,2.435315,1.95591,0.1736,147.0,1.0,0.442718,0.57735,0.57735,0.57735,0.400189,0.400189,0.400189,0.57735,0.433943
pair_05,cumulative,real,344,535,0,14,9,321.0,29.8,0.0928348909657321,3,0.318352,12.551494,0.039101,2.899627,2.471286,0.1789,321.0,1.0,0.674852,0.5,0.5,0.5,0.346574,0.346574,0.346574,0.5,0.433424
pair_06,broadcast,fake,183,187,0,8,4,173.0,6.2,0.035838150289017344,6,0.444891,5.479659,0.031674,1.930454,1.708444,0.0636,173.0,1.0,0.171429,0.816497,0.853987,0.816497,0.565952,0.577144,0.565952,0.816497,0.625199
pair_06,broadcast,real,259,499,0,9,5,243.0,9.0,0.037037037037037035,6,0.402759,7.143295,0.029396,1.864772,1.745951,0.0713,243.0,1.0,0.196538,0.816497,0.816417,0.816494,0.565952,0.565873,0.56595,1.0,0.572714
pair_06,cumulative,fake,183,187,0,8,4,173.0,15.6,0.09017341040462427,3,0.447761,11.862546,0.06857,2.201346,2.351583,0.1333,173.0,1.0,0.412088,0.816497,0.853987,0.816497,0.565952,0.577144,0.565952,0.816497,0.625199
